run_name,source,target,seed,epoch,total,cls,qdom,qcls,div,sda,rho,grl,lr,val_loss,val_accuracy,val_macro_f1
AT1_to_DK1_seed1,AT1,DK1,1,98,-0.5012,0.0292,3.2158,3.4951,-8.3919,1.1507,1.0,1.0,9.87e-07,0.1873,0.95,0.812
AT1_to_DK1_seed1,AT1,DK1,1,99,-0.5012,0.029,3.2171,3.5004,-8.3997,1.1521,1.0,1.0,2.47e-07,0.1946,0.95,0.8062
AT1_to_DK1_seed1,AT1,DK1,1,100,-0.5265,0.0285,3.2271,3.5046,-8.4371,1.1505,1.0,1.0,0.0,0.1911,0.95,0.811
AT1_to_DK1_seed2,AT1,DK1,2,1,7.4226,0.5101,4.5532,5.0694,-3.7884,1.0783,0.997,1.0,0.001,0.2783,0.92,0.5513
AT1_to_DK1_seed2,AT1,DK1,2,2,0.8335,0.2082,3.4053,3.8684,-7.5684,0.92,1.0,1.0,0.000999,0.1982,0.94,0.6284
AT1_to_DK1_seed2,AT1,DK1,2,3,1.282,0.1835,3.9782,3.9141,-8.0757,1.2819,1.0,1.0,0.000998,0.19,0.94,0.6773
AT1_to_DK1_seed2,AT1,DK1,2,4,0.9053,0.1685,3.7405,3.9458,-8.1767,1.2272,1.0,1.0,0.000996,0.2017,0.94,0.6835
AT1_to_DK1_seed2,AT1,DK1,2,5,0.4138,0.1622,3.6287,3.7236,-8.2029,1.1022,1.0,1.0,0.000994,0.222,0.93,0.7125
AT1_to_DK1_seed2,AT1,DK1,2,6,0.918,0.1513,3.8215,3.9668,-8.2309,1.2093,1.0,1.0,0.000991,0.2372,0.93,0.6634
AT1_to_DK1_seed2,AT1,DK1,2,7,0.6784,0.1436,3.8122,3.7608,-8.2661,1.2279,1.0,1.0,0.000988,0.2342,0.93,0.6944
AT1_to_DK1_seed2,AT1,DK1,2,8,0.6735,0.1435,3.7717,3.7859,-8.2511,1.2235,1.0,1.0,0.000984,0.3542,0.9,0.6809
AT1_to_DK1_seed2,AT1,DK1,2,9,0.741,0.1485,3.7389,3.9574,-8.3036,1.1998,1.0,1.0,0.00098,0.2843,0.91,0.69
AT1_to_DK1_seed2,AT1,DK1,2,10,0.5712,0.1391,3.7053,3.8198,-8.3257,1.2326,1.0,1.0,0.000976,0.1883,0.95,0.6892
AT1_to_DK1_seed2,AT1,DK1,2,11,1.7676,0.1515,4.1205,4.5673,-8.3279,1.2562,1.0,1.0,0.00097,0.2698,0.92,0.6719
AT1_to_DK1_seed2,AT1,DK1,2,12,1.5401,0.1363,3.9825,4.5315,-8.3329,1.2227,1.0,1.0,0.000965,0.2217,0.93,0.7584
AT1_to_DK1_seed2,AT1,DK1,2,13,0.5674,0.1354,3.4602,4.0943,-8.3636,1.2411,1.0,1.0,0.000959,0.2426,0.93,0.7076
AT1_to_DK1_seed2,AT1,DK1,2,14,1.0942,0.1345,3.8222,4.1739,-8.3466,1.3102,1.0,1.0,0.000952,0.2545,0.92,0.7098
AT1_to_DK1_seed2,AT1,DK1,2,15,1.3149,0.1306,3.8258,4.3929,-8.3531,1.3187,1.0,1.0,0.000946,0.2805,0.92,0.6176
AT1_to_DK1_seed2,AT1,DK1,2,16,0.6341,0.1203,3.4941,4.1356,-8.3822,1.2663,1.0,1.0,0.000938,0.2388,0.93,0.7061
AT1_to_DK1_seed2,AT1,DK1,2,17,1.3628,0.1258,3.8513,4.4317,-8.4073,1.3614,1.0,1.0,0.00093,0.1897,0.94,0.7845
AT1_to_DK1_seed2,AT1,DK1,2,18,1.2252,0.1204,3.9273,4.2325,-8.3497,1.2946,1.0,1.0,0.000922,0.1612,0.95,0.7768
AT1_to_DK1_seed2,AT1,DK1,2,19,-0.1256,0.1109,3.4813,3.4481,-8.4371,1.2713,1.0,1.0,0.000914,0.1602,0.95,0.81
AT1_to_DK1_seed2,AT1,DK1,2,20,0.2441,0.1083,3.5487,3.7325,-8.3888,1.2433,1.0,1.0,0.000905,0.1265,0.96,0.8016
AT1_to_DK1_seed2,AT1,DK1,2,21,0.2504,0.1052,3.4227,3.8482,-8.3627,1.2371,1.0,1.0,0.000895,0.2729,0.92,0.7422
AT1_to_DK1_seed2,AT1,DK1,2,22,0.0031,0.1103,3.5174,3.5374,-8.3997,1.2377,1.0,1.0,0.000885,0.2902,0.92,0.6333
AT1_to_DK1_seed2,AT1,DK1,2,23,0.6343,0.1155,3.7229,3.9161,-8.4115,1.2913,1.0,1.0,0.000875,0.1402,0.96,0.8405
