run_name,source,target,seed,true_class,pred_class,count
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,horsebeans,117
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,meadow,1536
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,spring_barley,289
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,spring_oat,402
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,winter_barley,18
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,winter_rye,4
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,winter_triticale,14
AT1_to_DK1_seed3,AT1,DK1,3,spring_barley,winter_wheat,6
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,corn,105
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,horsebeans,17
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,meadow,164
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,spring_barley,24
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,spring_oat,17
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,winter_barley,0
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,winter_rapeseed,0
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,winter_rye,0
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,winter_triticale,1
AT1_to_DK1_seed3,AT1,DK1,3,spring_oat,winter_wheat,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,corn,4
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,horsebeans,0
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,meadow,121
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,spring_barley,3
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,spring_oat,5
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,winter_barley,476
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,winter_rapeseed,20
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,winter_rye,49
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,winter_triticale,56
AT1_to_DK1_seed3,AT1,DK1,3,winter_barley,winter_wheat,14
AT1_to_DK1_seed3,AT1,DK1,3,winter_rapeseed,corn,1
